Round 1: 6 sc into magic ring (6)
Round 2: inc in each st around (12)
Round 3: (sc, inc) x 6 (18)
Round 4: (2 sc, inc) x 6 (24)
Round 5: (3 sc, inc) x 6 (30)
Round 6: (4 sc, inc) x 6 (36)
Round 7: (5 sc, inc) x 6 (42)
Round 8: (6 sc, inc) x 6 (48)
Round 9: (7 sc, inc) x 6 (54)
Round 10: (8 sc, inc) x 6 (60)
Round 11-18: sc in each st around (60)
Round 19: (8 sc, dec) x 6 (54)
Round 20: (7 sc, dec) x 6 (48)
Round 21: (6 sc, dec) x 6 (42)
Round 22: (5 sc, dec) x 6 (36)
Round 23: (4 sc, dec) x 6 (30)
Round 24: (3 sc, dec) x 6 (24)
